DATE,deaths,injuries
1958-04-01,0,0
1980-02-19,0,0
1982-11-30,0,0
1986-03-10,0,0
1996-03-04,0,0
1996-12-10,0,0
1997-01-01,0,0
1997-01-02,0,0
1997-01-25,0,0
1997-02-03,1,0
1998-01-02,0,12
1998-01-11,1,0
1998-02-02,0,0
1998-02-06,0,0
1998-02-07,0,0
2000-02-13,0,0
2002-12-15,0,0
2004-10-19,0,0
2005-03-20,0,0
2005-12-01,0,0
2005-12-18,0,0
2005-12-31,0,0
2006-01-01,0,0
2006-02-27,1,0
2006-04-01,0,0
2006-04-04,0,0
2006-07-22,0,0
2006-12-27,0,0
2007-01-06,0,0
2007-12-03,2,0
2008-01-04,0,0
2008-01-05,0,0
2008-01-25,0,0
2008-02-23,0,0
2008-10-12,0,0
2008-12-15,0,0
2008-12-17,0,0
2008-12-25,0,0
2009-01-12,0,0
2009-01-25,0,0
2009-02-12,0,0
2009-02-15,0,0
2009-02-16,0,0
2009-02-17,0,0
2009-04-14,0,0
2009-05-02,0,0
2009-05-17,0,0
2009-09-29,0,0
2009-10-13,0,3
2009-11-27,1,0
2009-11-28,0,0
2009-12-08,0,0
2009-12-17,0,0
2010-01-18,0,1
2010-01-19,0,0
2010-01-20,0,1
2010-01-22,0,0
2010-02-13,0,13
2010-04-11,0,0
2010-10-24,0,0
2010-11-20,0,0
2010-12-18,0,0
2010-12-19,0,0
2010-12-28,0,0
2010-12-29,0,0
2011-01-20,0,0
2011-01-22,0,1
2011-02-15,0,0
2011-02-17,0,0
2011-02-25,0,0
2011-03-11,0,0
2011-03-16,1,0
2011-03-19,0,0
2011-03-20,0,0
2011-11-30,0,0
2011-12-01,0,0
2011-12-02,0,0
2012-01-21,0,0
2012-03-14,0,5
2012-03-15,1,4
2012-03-16,0,0
2012-03-17,0,0
2012-11-28,0,0
2012-11-30,0,0
2012-12-21,0,0
2012-12-22,0,0
2012-12-23,0,0
2013-04-08,0,0
2013-10-04,0,0
2013-10-27,0,0
2013-11-21,1,0
2013-11-22,0,0
2014-02-28,0,0
2014-10-12,1,2
2014-12-02,0,0
2014-12-03,0,0
2014-12-11,0,0
2014-12-30,0,0
2014-12-31,0,0
2015-02-06,0,0
2015-02-09,0,0
2015-12-13,0,0
2016-10-24,0,0
2016-12-10,0,0
2016-12-15,0,0
2017-01-03,0,0
2017-01-09,0,0
2017-01-10,0,0
2017-01-18,0,0
2017-01-22,0,0
2017-01-23,0,0
2017-02-06,0,0
2017-02-07,0,0
2017-02-09,0,0
2017-02-17,0,0
2017-02-20,0,0
2017-02-21,0,0
2017-04-06,0,0
2017-04-07,0,0
2017-04-08,0,0
2017-09-01,3,0
2017-09-11,0,0
2017-10-20,0,0
2017-11-27,0,0
2017-12-16,0,0
2018-01-08,0,0
2018-01-18,0,0
2018-02-22,0,0
2018-03-01,0,0
2018-03-17,0,0
2018-03-21,0,0
2018-04-07,0,0
2018-07-01,1,0
2018-11-03,0,0
2018-11-09,0,0
2018-11-10,0,0
2018-11-16,0,0
2018-11-23,0,0
2018-11-28,0,0
2018-11-29,0,0
2018-12-11,0,0
2018-12-16,0,0
2018-12-17,0,0
2018-12-20,0,0
2018-12-25,0,0
2018-12-31,0,0
2019-01-05,0,0
2019-01-06,1,0
2019-01-07,0,0
2019-01-08,0,0
2019-01-09,0,0
2019-01-16,1,0
2019-01-20,0,0
2019-02-02,0,0
2019-02-05,0,0
2019-02-06,0,0
2019-02-10,0,0
2019-02-13,0,0
2019-02-14,1,1
2019-02-25,0,0
2019-02-26,0,0
2019-03-05,0,0
2019-03-26,0,0
2019-04-18,1,0
2019-04-21,1,0
2019-05-16,0,0
2019-06-10,0,0
2019-10-24,0,0
2019-10-27,0,0
2019-11-16,0,0
2019-11-26,0,0
2019-11-30,0,0
2019-12-01,0,0
2019-12-06,0,0
2019-12-07,0,0
2019-12-08,0,0
2019-12-09,0,0
2019-12-12,0,0
2020-01-02,0,0
2020-01-16,0,0
2020-02-02,0,0
2020-02-09,0,0
2020-04-05,0,0
2020-04-17,0,0
2020-05-19,0,0
2020-06-07,0,0
2020-08-14,0,0
2020-08-16,1,3
2020-08-17,0,0
2020-09-01,0,0
2020-09-07,0,0
2020-10-25,0,0
2020-10-26,0,0
2020-11-06,0,0
2020-11-08,0,0
2020-12-07,0,0
2020-12-08,1,0
2020-12-14,0,0
2021-01-09,0,0
2021-01-10,1,1
2021-01-11,0,0
2021-01-12,0,0
2021-01-18,1,0
2021-01-19,0,0
2021-01-24,0,0
2021-01-26,0,0
2021-01-27,0,0
2021-01-28,0,0
2021-02-24,0,0
2021-03-10,0,0
2021-03-15,0,0
2021-04-04,0,0
2021-05-08,0,0
2021-05-19,0,0
2021-06-07,0,0
2021-06-24,0,0
2021-12-13,0,0
2022-03-04,0,0
2022-04-11,0,0
2022-06-21,0,0
2022-10-22,0,0
2022-11-06,1,1
